                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2877,                0.93588,                 1.1938,                0.68004,                0.58121,                0.61078,                0.35646,                 1.4214,                 1.0291,                 1.3886,              0.0099673,              0.0099673,              0.0099673
                     35,                  1.283,                0.94601,                 1.1732,                0.63952,                0.59623,                0.63613,                0.38947,                 1.3276,                 1.0126,                 1.3152,              0.0099663,              0.0099663,              0.0099663
                     36,                 1.2676,                0.94782,                  1.184,                0.68716,                0.57655,                0.61916,                0.37165,                 1.3638,                0.95611,                 1.3376,              0.0099654,              0.0099654,              0.0099654
                     37,                 1.2851,                0.93868,                 1.1837,                0.66769,                0.59727,                0.65021,                 0.4061,                 1.2884,                0.93353,                 1.2958,              0.0099644,              0.0099644,              0.0099644
                     38,                 1.3083,                0.96565,                 1.2005,                0.67049,                0.59621,                0.64036,                0.38993,                 1.3313,                0.98185,                 1.3278,              0.0099634,              0.0099634,              0.0099634
                     39,                 1.2656,                0.91351,                 1.2127,                0.67914,                0.58779,                0.63173,                0.39052,                 1.2887,                0.95992,                 1.2991,              0.0099624,              0.0099624,              0.0099624
                     40,                 1.2555,                0.90644,                  1.166,                0.66881,                0.61363,                0.65919,                0.41113,                 1.2632,                 0.9353,                 1.2733,              0.0099614,              0.0099614,              0.0099614
                     41,                 1.2536,                0.91846,                 1.1809,                0.63961,                0.58121,                0.60872,                0.35794,                 1.3613,                 1.0199,                   1.33,              0.0099604,              0.0099604,              0.0099604
                     42,                 1.2733,                0.93745,                 1.1702,                0.62765,                0.61461,                0.64664,                0.39662,                 1.3776,                 1.0216,                   1.35,              0.0099594,              0.0099594,              0.0099594
                     43,                 1.2572,                0.93624,                 1.1803,                0.67875,                0.59907,                0.64731,                0.39873,                 1.2983,                0.92073,                 1.2983,              0.0099584,              0.0099584,              0.0099584
